Empresa,Classe,Codigo_old,,Setor,Segmento,Codigo
CCR SA,ON,CCRO3,.SA,Bens industriais,Explorao de rodovias,CCRO3.SA
Ccx Carvao,ON,CCXC3,.SA,Outros,Minerais no met licos,CCXC3.SA
Cea Modas,ON,CEAB3,.SA,Consumo ciclico,Tecidos vestuario e calados,CEAB3.SA
Ceb,ON,CEBR3,.SA,Utilidade pblica,Energia eletrica,CEBR3.SA
Ceb,PNA,CEBR5,.SA,Utilidade pblica,Energia eletrica,CEBR5.SA
Ceb,PNB,CEBR6,.SA,Utilidade pblica,Energia eletrica,CEBR6.SA
Cedro,ON,CEDO3,.SA,Consumo ciclico,Fios e tecidos,CEDO3.SA
Cedro,PN,CEDO4,.SA,Consumo ciclico,Fios e tecidos,CEDO4.SA
CeeeD,ON,CEED3,.SA,Utilidade pblica,Energia eletrica,CEED3.SA
CeeeD,PN,CEED4,.SA,Utilidade pblica,Energia eletrica,CEED4.SA
CeeeGt,ON,EEEL3,.SA,Utilidade pblica,Energia eletrica,EEEL3.SA
CeeeGt,PN,EEEL4,.SA,Utilidade pblica,Energia eletrica,EEEL4.SA
Ceg,ON,CEGR3,.SA,Utilidade pblica,G s,CEGR3.SA
Celesc,ON,CLSC3,.SA,Utilidade pblica,Energia eletrica,CLSC3.SA
Celesc,PN,CLSC4,.SA,Utilidade pblica,Energia eletrica,CLSC4.SA
Celgpar,ON,GPAR3,.SA,Utilidade pblica,Energia eletrica,GPAR3.SA
Celpe,ON,CEPE3,.SA,Utilidade pblica,Energia eletrica,CEPE3.SA
Celpe,PNA,CEPE5,.SA,Utilidade pblica,Energia eletrica,CEPE5.SA
Celpe,PNB,CEPE6,.SA,Utilidade pblica,Energia eletrica,CEPE6.SA
Celul Irani,ON,RANI3,.SA,Materiais basicos,Papel e celulose,RANI3.SA
Celul Irani,PN,RANI4,.SA,Materiais basicos,Papel e celulose,RANI4.SA
Cemepe,ON,MAPT3,.SA,Financeiro,Outros,MAPT3.SA
Cemepe,PN,MAPT4,.SA,Financeiro,Outros,MAPT4.SA
Cemig,ON,CMIG3,.SA,Utilidade pblica,Energia eletrica,CMIG3.SA
Cemig,PN,CMIG4,.SA,Utilidade pblica,Energia eletrica,CMIG4.SA
Centauro,ON,CNTO3,.SA,Consumo ciclico,Produtos diversos,CNTO3.SA
Cesp,ON,CESP3,.SA,Utilidade pblica,Energia eletrica,CESP3.SA
Cesp,PNA,CESP5,.SA,Utilidade pblica,Energia eletrica,CESP5.SA
Cesp,PNB,CESP6,.SA,Utilidade pblica,Energia eletrica,CESP6.SA
Cia Hering,ON,HGTX3,.SA,Consumo ciclico,Vestuario,HGTX3.SA
Cielo,ON,CIEL3,.SA,Financeiro,Servios financeiros diversos,CIEL3.SA
Cims,ON,CMSA3,.SA,Financeiro,Outros,CMSA3.SA
Cims,PN,CMSA4,.SA,Financeiro,Outros,CMSA4.SA
Cinesystem,ON,CNSY3,.SA,Comunicaes,Produo e difuso de filmes e programas,CNSY3.SA
Coelba,ON,CEEB3,.SA,Utilidade pblica,Energia eletrica,CEEB3.SA
Coelba,PNA,CEEB5,.SA,Utilidade pblica,Energia eletrica,CEEB5.SA
Coelba,PNB,CEEB6,.SA,Utilidade pblica,Energia eletrica,CEEB6.SA
Coelce,ON,COCE3,.SA,Utilidade pblica,Energia eletrica,COCE3.SA
Coelce,PNA,COCE5,.SA,Utilidade pblica,Energia eletrica,COCE5.SA
Coelce,PNB,COCE6,.SA,Utilidade pblica,Energia eletrica,COCE6.SA
Cogna ON,ON,COGN3,.SA,Consumo ciclico,Servios educacionais,COGN3.SA
Comgas,ON,CGAS3,.SA,Utilidade pblica,G s,CGAS3.SA
Comgas,PNA,CGAS5,.SA,Utilidade pblica,G s,CGAS5.SA
Conc Rio Ter,ON,CRTE3B,.SA,Bens industriais,Explorao de rodovias,CRTE3B.SA
Conc Rio Ter,PNA,CRTE5B,.SA,Bens industriais,Explorao de rodovias,CRTE5B.SA
Const A Lind,ON,CALI3,.SA,Consumo ciclico,Incorporaes,CALI3.SA
Const A Lind,PN,CALI4,.SA,Consumo ciclico,Incorporaes,CALI4.SA
Copasa,ON,CSMG3,.SA,Utilidade pblica,gua e saneamento,CSMG3.SA
Copel,ON,CPLE3,.SA,Utilidade pblica,Energia eletrica,CPLE3.SA
Copel,PNA,CPLE5,.SA,Utilidade pblica,Energia eletrica,CPLE5.SA
Copel,PNB,CPLE6,.SA,Utilidade pblica,Energia eletrica,CPLE6.SA
Cor Ribeiro,ON,CORR3,.SA,Financeiro,Explorao de imveis,CORR3.SA
Cor Ribeiro,PN,CORR4,.SA,Financeiro,Explorao de imveis,CORR4.SA
Cosan,ON,CSAN3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,CSAN3.SA
Cosan Log,ON,RLOG3,.SA,Bens industriais,Transporte ferroviario,RLOG3.SA
Cosern,ON,CSRN3,.SA,Utilidade pblica,Energia eletrica,CSRN3.SA
Cosern,PNA,CSRN5,.SA,Utilidade pblica,Energia eletrica,CSRN5.SA
Cosern,PNB,CSRN6,.SA,Utilidade pblica,Energia eletrica,CSRN6.SA
Coteminas,ON,CTNM3,.SA,Consumo ciclico,Fios e tecidos,CTNM3.SA
Coteminas,PN,CTNM4,.SA,Consumo ciclico,Fios e tecidos,CTNM4.SA
CPFL Energia,ON,CPFE3,.SA,Utilidade pblica,Energia eletrica,CPFE3.SA
CPFL Renovav,ON,CPRE3,.SA,Utilidade pblica,Energia eletrica,CPRE3.SA
Cr2,ON,CRDE3,.SA,Consumo ciclico,Incorporaes,CRDE3.SA
Cristal,ON,CRPG3,.SA,Materiais basicos,Quimicos diversos,CRPG3.SA
Cristal,PNA,CRPG5,.SA,Materiais basicos,Quimicos diversos,CRPG5.SA
Cristal,PNB,CRPG6,.SA,Materiais basicos,Quimicos diversos,CRPG6.SA
Csu Cardsyst,ON,CARD3,.SA,Bens industriais,Servios diversos,CARD3.SA
Ctc S.A.,ON,CTCA3,.SA,Consumo no ciclico,Agricultura,CTCA3.SA
Cvc Brasil,ON,CVCB3,.SA,Consumo ciclico,Viagens e turismo,CVCB3.SA
Cyre ComCcp,ON,CCPR3,.SA,Financeiro,Explorao de imveis,CCPR3.SA
Cyrela Realt,ON,CYRE3,.SA,Consumo ciclico,Incorporaes,CYRE3.SA
Dasa,ON,DASA3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,DASA3.SA
Dimed,ON,PNVL3,.SA,Saude,Medicamentos e outros produtos,PNVL3.SA
Dimed,PN,PNVL4,.SA,Saude,Medicamentos e outros produtos,PNVL4.SA
Direcional,ON,DIRR3,.SA,Consumo ciclico,Incorporaes,DIRR3.SA
Dohler,ON,DOHL3,.SA,Consumo ciclico,Fios e tecidos,DOHL3.SA
Dohler,PN,DOHL4,.SA,Consumo ciclico,Fios e tecidos,DOHL4.SA
Dommo,ON,DMMO3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,DMMO3.SA
Dtcom Direct,ON,DTCY3,.SA,Bens industriais,Servios diversos,DTCY3.SA
Dtcom Direct,PN,DTCY4,.SA,Bens industriais,Servios diversos,DTCY4.SA
Duratex,ON,DTEX3,.SA,Materiais basicos,Madeira,DTEX3.SA
Ecorodovias,ON,ECOR3,.SA,Bens industriais,Explorao de rodovias,ECOR3.SA
Elekeiroz,ON,ELEK3,.SA,Materiais basicos,Petroquimicos,ELEK3.SA
Elekeiroz,PN,ELEK4,.SA,Materiais basicos,Petroquimicos,ELEK4.SA
Elektro,ON,EKTR3,.SA,Utilidade pblica,Energia eletrica,EKTR3.SA
Elektro,PN,EKTR4,.SA,Utilidade pblica,Energia eletrica,EKTR4.SA
Eletrobras,ON,ELET3,.SA,Utilidade pblica,Energia eletrica,ELET3.SA
Eletrobras,PNA,ELET5,.SA,Utilidade pblica,Energia eletrica,ELET5.SA
Eletrobras,PNB,ELET6,.SA,Utilidade pblica,Energia eletrica,ELET6.SA
Eletron,ON,ETRO3B,.SA,Financeiro,Outros,ETRO3B.SA
