Empresa,Classe,Codigo,Setor,Segmento
Santander BR,ON,SANB3,Financeiro,Bancos
Santander BR,PN,SANB4,Financeiro,Bancos
Santander BR,UNT,SANB11,Financeiro,Bancos
Santanense,ON,CTSA3,Consumo ciclico,Fios e tecidos
Santanense,PN,CTSA4,Consumo ciclico,Fios e tecidos
Santanense,PND,CTSA8,Consumo ciclico,Fios e tecidos
Santos Brp,ON,STBP3,Bens industriais,Servios de apoio e armazenagem
Sao Carlos,ON,SCAR3,Financeiro,Explorao de imveis
Sao Martinho,ON,SMTO3,Consumo no ciclico,Acar e  lcool
Saraiva Livr,ON,SLED3,Consumo ciclico,Produtos diversos
Saraiva Livr,PN,SLED4,Consumo ciclico,Produtos diversos
Schulz,ON,SHUL3,Bens industriais,Motores compressores e outros
Schulz,PN,SHUL4,Bens industriais,Motores compressores e outros
Seg Al Bahia,ON,CSAB3,Financeiro,Seguradoras
Seg Al Bahia,PN,CSAB4,Financeiro,Seguradoras
Selectpart,ON,SLCT3B,Financeiro,Outros
Ser Educa,ON,SEER3,Consumo ciclico,Servios educacionais
Sid Nacional,ON,CSNA3,Materiais basicos,Siderurgia
Sinqia,ON,SQIA3,Tecnologia da informao,Programas e servios
SLC Agricola,ON,SLCE3,Consumo no ciclico,Agricultura
Smart Fit,ON,SMFT3,Consumo ciclico,Atividades esportivas
Smart Fit,PNAB,SMFT13,Consumo ciclico,Atividades esportivas
Smart Fit,PNAE,SMFT14,Consumo ciclico,Atividades esportivas
Smart Fit,PNAG,SMFT15,Consumo ciclico,Atividades esportivas
Smart Fit,PNB,SMFT6,Consumo ciclico,Atividades esportivas
Smart Fit,PNE,SMFT11,Consumo ciclico,Atividades esportivas
Smart Fit,PNG,SMFT12,Consumo ciclico,Atividades esportivas
Smiles,ON,SMLS3,Consumo ciclico,Programas de fidelizao
Sondotecnica,ON,SOND3,Bens industriais,Engenharia consultiva
Sondotecnica,PNA,SOND5,Bens industriais,Engenharia consultiva
Sondotecnica,PNB,SOND6,Bens industriais,Engenharia consultiva
Springer,ON,SPRI3,Financeiro,Holdings diversificadas
Springer,PNA,SPRI5,Financeiro,Holdings diversificadas
Springer,PNB,SPRI6,Financeiro,Holdings diversificadas
Springs,ON,SGPS3,Consumo ciclico,Fios e tecidos
SPturis,ON,AHEB3,Consumo ciclico,Produo de eventos e shows
SPturis,PNA,AHEB5,Consumo ciclico,Produo de eventos e shows
SPturis,PNB,AHEB6,Consumo ciclico,Produo de eventos e shows
Stara,ON,STTR3,Bens industriais,M q. e equip. construo e agricolas
Statkraft,ON,STKF3,Utilidade pblica,Energia eletrica
Sudeste,ON,OPSE3B,Financeiro,Outros
Sul 116 Part,ON,OPTS3B,Financeiro,Outros
Sul America,ON,SULA3,Financeiro,Seguradoras
Sul America,PN,SULA4,Financeiro,Seguradoras
Sul America,UNT N2,SULA11,Financeiro,Seguradoras
Suzano Hold,ON,NEMO3,Materiais basicos,Papel e celulose
Suzano Hold,PNA,NEMO5,Materiais basicos,Papel e celulose
Suzano Hold,PNB,NEMO6,Materiais basicos,Papel e celulose
Suzano S.A.,ON,SUZB3,Materiais basicos,Papel e celulose
Taesa,ON,TAEE3,Utilidade pblica,Energia eletrica
Taesa,PN,TAEE4,Utilidade pblica,Energia eletrica
Taesa,UNT N2,TAEE11,Utilidade pblica,Energia eletrica
Taurus Armas,ON,TASA3,Bens industriais,Armas e munies
Taurus Armas,PN,TASA4,Bens industriais,Armas e munies
Technos,ON,TECN3,Consumo ciclico,Acessrios
Tecnisa,ON,TCSA3,Consumo ciclico,Incorporaes
Tecnosolo,ON,TCNO3,Bens industriais,Engenharia consultiva
Tecnosolo,PN,TCNO4,Bens industriais,Engenharia consultiva
Tegma,ON,TGMA3,Bens industriais,Transporte rodoviario
Teka,ON,TEKA3,Consumo ciclico,Fios e tecidos
Teka,PN,TEKA4,Consumo ciclico,Fios e tecidos
Tekno,ON,TKNO3,Materiais basicos,Artefatos de ferro e ao
Tekno,PN,TKNO4,Materiais basicos,Artefatos de ferro e ao
Telebras,ON,TELB3,Comunicaes,Telecomunicaes
Telebras,PN,TELB4,Comunicaes,Telecomunicaes
Telef Brasil,ON,VIVT3,Comunicaes,Telecomunicaes
Telef Brasil,PN,VIVT4,Comunicaes,Telecomunicaes
Tenda,ON,TEND3,Consumo ciclico,Incorporaes
Terra Santa,ON,TESA3,Consumo no ciclico,Agricultura
Tex Renaux,ON,TXRX3,Consumo ciclico,Fios e tecidos
Tex Renaux,PN,TXRX4,Consumo ciclico,Fios e tecidos
Tim Part S/A,ON,TIMP3,Comunicaes,Telecomunicaes
Time For Fun,ON,SHOW3,Consumo ciclico,Produo de eventos e shows
Totvs,ON,TOTS3,Tecnologia da informao,Programas e servios
Tran Paulist,ON,TRPL3,Utilidade pblica,Energia eletrica
Tran Paulist,PN,TRPL4,Utilidade pblica,Energia eletrica
Trevisa,ON,LUXM3,Bens industriais,Transporte hidroviario
Trevisa,PN,LUXM4,Bens industriais,Transporte hidroviario
Trisul,ON,TRIS3,Consumo ciclico,Incorporaes
Triunfo Part,ON,TPIS3,Bens industriais,Explorao de rodovias
Tupy,ON,TUPY3,Bens industriais,Material rodoviario
Ultrapar,ON,UGPA3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Unicasa,ON,UCAS3,Consumo ciclico,Mveis
Unipar,ON,UNIP3,Materiais basicos,Quimicos diversos
Unipar,PNA,UNIP5,Materiais basicos,Quimicos diversos
Unipar,PNB,UNIP6,Materiais basicos,Quimicos diversos
Uptick,ON,UPKP3B,Utilidade pblica,Energia eletrica
Usiminas,ON,USIM3,Materiais basicos,Siderurgia
Usiminas,PNA,USIM5,Materiais basicos,Siderurgia
Usiminas,PNB,USIM6,Materiais basicos,Siderurgia
Vale,ON,VALE3,Materiais basicos,Minerais met licos
Valid,ON,VLID3,Bens industriais,Servios diversos
Viavarejo,ON,VVAR3,Consumo ciclico,Eletrodom‚sticos
Vivara S.A.,ON,VIVA3,Consumo ciclico,Acessrios
Viver,ON,VIVR3,Consumo ciclico,Incorporaes
Vulcabras,ON,VULC3,Consumo ciclico,Calados
Weg,ON,WEGE3,Bens industriais,Motores compressores e outros
Wetzel S/A,ON,MWET3,Bens industriais,Material rodoviario
Wetzel S/A,PN,MWET4,Bens industriais,Material rodoviario
Whirlpool,ON,WHRL3,Consumo ciclico,Eletrodom‚sticos
Whirlpool,PN,WHRL4,Consumo ciclico,Eletrodom‚sticos
Wilson Sons,ON,WSON33,Bens industriais,Servios de apoio e armazenagem
Wiz S.A,ON,WIZS3,Financeiro,Corretoras de seguros
Wlm Ind Com,ON,WLMM3,Bens industriais,Material de transporte
Wlm Ind Com,PN,WLMM4,Bens industriais,Material de transporte
Yduqs Part,ON,YDUQ3,Consumo ciclico,Servios educacionais
