Empresa,Classe,Codigo,Setor,Segmento
P.AcucarCbd,PN,PCAR4,Consumo no ciclico,Alimentos
Panatlantica,ON,PATI3,Materiais basicos,Artefatos de ferro e ao
Panatlantica,PN,PATI4,Materiais basicos,Artefatos de ferro e ao
Par Al Bahia,ON,PEAB3,Financeiro,Holdings diversificadas
Par Al Bahia,PN,PEAB4,Financeiro,Holdings diversificadas
Paranapanema,ON,PMAM3,Materiais basicos,Artefatos de cobre
PDG Realt,ON,PDGR3,Consumo ciclico,Incorporaes
Pet Manguinh,ON,RPMG3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Petrobras,ON,PETR3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Petrobras,PN,PETR4,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Petrobras BR,ON,BRDT3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Petrorio,ON,PRIO3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Pettenati,ON,PTNT3,Consumo ciclico,Fios e tecidos
Pettenati,PN,PTNT4,Consumo ciclico,Fios e tecidos
Pine,ON,PINE3,Financeiro,Bancos
Pine,PN,PINE4,Financeiro,Bancos
Plascar Part,ON,PLAS3,Consumo ciclico,Automveis e motocicletas
Polpar,ON,PPAR3,Financeiro,Outros
Pomifrutas,ON,FRTA3,Consumo no ciclico,Agricultura
Porto Seguro,ON,PSSA3,Financeiro,Seguradoras
Portobello,ON,PTBL3,Bens industriais,Produtos para construo
Positivo Tec,ON,POSI3,Tecnologia da informao,Computadores e equipamentos
Ppla,UNT,PPLA11,Financeiro,Gesto de recursos e investimentos
Pratica,ON,PTCA3,Bens industriais,M q. e equip. industriais
Pratica,PN Resg,PTCA11,Bens industriais,M q. e equip. industriais
Priner,ON,PRNR3,Bens industriais,Servios diversos
Profarma,ON,PFRM3,Sade,Medicamentos e outros produtos
Prompt,ON,PRPT3B,Financeiro,Outros
Qualicorp,ON,QUAL3,Sade,Servios medicohospitalares an lises e diagnsticos
Quality Soft,ON,QUSW3,Tecnologia da informao,Programas e servios
RaiaDrogasil,ON,RADL3,Sade,Medicamentos e outros produtos
Randon Part,ON,RAPT3,Bens industriais,Material rodoviario
Randon Part,PN,RAPT4,Bens industriais,Material rodoviario
Recrusul,ON,RCSL3,Bens industriais,Material rodoviario
Recrusul,PN,RCSL4,Bens industriais,Material rodoviario
Rede Energia,ON,REDE3,Utilidade pblica,Energia eletrica
Rede Energia,PN,REDE4,Utilidade pblica,Energia eletrica
Renova,ON,RNEW3,Utilidade pblica,Energia eletrica
Renova,PN,RNEW4,Utilidade pblica,Energia eletrica
Renova,UNT N2,RNEW11,Utilidade pblica,Energia eletrica
Riosulense,ON,RSUL3,Bens industriais,Material rodoviario
Riosulense,PN,RSUL4,Bens industriais,Material rodoviario
Rni,ON,RDNI3,Consumo ciclico,Incorporaes
Rossi Resid,ON,RSID3,Consumo ciclico,Incorporaes
Rumo S.A.,ON,RAIL3,Bens industriais,Transporte ferroviario
Sabesp,ON,SBSP3,Utilidade pblica,gua e saneamento
Sanepar,ON,SAPR3,Utilidade pblica,gua e saneamento
Sanepar,PN,SAPR4,Utilidade pblica,gua e saneamento
Sanepar,UNT N2,SAPR11,Utilidade pblica,gua e saneamento
Sansuy,ON,SNSY3,Materiais basicos,Materiais diversos
Sansuy,PNA,SNSY5,Materiais basicos,Materiais diversos
Sansuy,PNB,SNSY6,Materiais basicos,Materiais diversos
